통계년월,통계시도명,통계시군구명,성별,수급자구분,연령구간,수급자수
202006,서울특별시,종로구,여성,조건부수급자,19~29세,40
202006,서울특별시,종로구,여성,조건부수급자,30~39세,13
202006,서울특별시,종로구,여성,조건부수급자,40~49세,43
202006,서울특별시,종로구,여성,조건부수급자,50~59세,40
202006,서울특별시,종로구,여성,조건부수급자,60~64세,32
202006,서울특별시,종로구,남성,일반수급자,19~29세,71
202006,서울특별시,종로구,여성,조건부수급자,65~69세,1
202006,서울특별시,종로구,여성,조건부수급자,70~74세,2
202006,서울특별시,종로구,여성,조건부수급자,80~89세,2
202006,서울특별시,종로구,여성,조건부수급자,90세이상,1
202006,서울특별시,종로구,남성,시설수급자,7세미만,3
202006,서울특별시,종로구,남성,시설수급자,7~12세,2
202006,서울특별시,종로구,남성,시설수급자,19~29세,9
202006,서울특별시,종로구,남성,시설수급자,30~39세,54
202006,서울특별시,종로구,남성,시설수급자,40~49세,85
202006,서울특별시,종로구,남성,시설수급자,50~59세,41
202006,서울특별시,종로구,남성,일반수급자,30~39세,64
202006,서울특별시,종로구,남성,시설수급자,60~64세,16
202006,서울특별시,종로구,남성,시설수급자,65~69세,15
202006,서울특별시,종로구,남성,시설수급자,70~74세,9
202006,서울특별시,종로구,남성,일반수급자,40~49세,159
202006,서울특별시,종로구,남성,시설수급자,75~79세,2
202006,서울특별시,종로구,여성,시설수급자,7세미만,29
202006,서울특별시,종로구,여성,시설수급자,7~12세,16
202006,서울특별시,종로구,여성,시설수급자,13~15세,3
202006,서울특별시,종로구,여성,시설수급자,16~18세,6
202006,서울특별시,종로구,여성,시설수급자,19~29세,17
202006,서울특별시,종로구,여성,시설수급자,30~39세,44
202006,서울특별시,종로구,여성,시설수급자,40~49세,64
202006,서울특별시,종로구,여성,시설수급자,50~59세,65
202006,서울특별시,종로구,여성,시설수급자,60~64세,36
202006,서울특별시,종로구,남성,일반수급자,50~59세,481
202006,서울특별시,종로구,여성,시설수급자,65~69세,26
202006,서울특별시,종로구,여성,시설수급자,70~74세,19
202006,서울특별시,종로구,여성,시설수급자,75~79세,13
202006,서울특별시,종로구,여성,시설수급자,80~89세,41
202006,서울특별시,종로구,여성,시설수급자,90세이상,25
202006,서울특별시,종로구,남성,특례수급자,7~12세,1
202006,서울특별시,종로구,남성,특례수급자,16~18세,1
202006,서울특별시,종로구,남성,특례수급자,19~29세,2
202006,서울특별시,종로구,남성,특례수급자,30~39세,11
202006,서울특별시,종로구,남성,특례수급자,40~49세,14
202006,서울특별시,종로구,남성,특례수급자,50~59세,40
202006,서울특별시,종로구,남성,특례수급자,60~64세,27
202006,서울특별시,종로구,남성,특례수급자,65~69세,9
202006,서울특별시,종로구,남성,일반수급자,60~64세,289
202006,서울특별시,종로구,남성,특례수급자,70~74세,11
202006,서울특별시,종로구,남성,특례수급자,75~79세,8
202006,서울특별시,종로구,남성,특례수급자,80~89세,4
202006,서울특별시,종로구,여성,특례수급자,7세미만,3
202006,서울특별시,종로구,여성,특례수급자,16~18세,3
202006,서울특별시,종로구,여성,특례수급자,19~29세,2
202006,서울특별시,종로구,여성,특례수급자,30~39세,5
202006,서울특별시,종로구,여성,특례수급자,40~49세,7
202006,서울특별시,종로구,여성,특례수급자,50~59세,5
202006,서울특별시,종로구,여성,특례수급자,60~64세,2
202006,서울특별시,종로구,여성,특례수급자,65~69세,8
202006,서울특별시,종로구,여성,특례수급자,70~74세,13
202006,서울특별시,종로구,여성,특례수급자,75~79세,16
202006,서울특별시,종로구,여성,특례수급자,80~89세,16
202006,서울특별시,종로구,여성,특례수급자,90세이상,3
202006,서울특별시,종로구,남성,기타수급자,50~59세,1
202006,서울특별시,종로구,여성,기타수급자,19~29세,1
202006,서울특별시,종로구,남성,일반수급자,65~69세,357
202006,서울특별시,종로구,남성,일반수급자,70~74세,234
202006,서울특별시,종로구,남성,일반수급자,75~79세,210
202006,서울특별시,종로구,남성,일반수급자,7~12세,64
202006,서울특별시,종로구,남성,일반수급자,80~89세,125
202006,서울특별시,종로구,남성,일반수급자,90세이상,10
202006,서울특별시,종로구,여성,일반수급자,7세미만,18
202006,서울특별시,종로구,여성,일반수급자,7~12세,57
202006,서울특별시,종로구,여성,일반수급자,13~15세,48
202006,서울특별시,종로구,여성,일반수급자,16~18세,65
202006,서울특별시,종로구,여성,일반수급자,19~29세,66
202006,서울특별시,종로구,남성,일반수급자,7세미만,8
202006,서울특별시,종로구,여성,일반수급자,30~39세,62
202006,서울특별시,종로구,여성,일반수급자,40~49세,141
202006,서울특별시,종로구,여성,일반수급자,50~59세,186
202006,서울특별시,종로구,남성,일반수급자,13~15세,49
202006,서울특별시,종로구,여성,일반수급자,60~64세,112
202006,서울특별시,종로구,여성,일반수급자,65~69세,163
202006,서울특별시,종로구,여성,일반수급자,70~74세,151
202006,서울특별시,종로구,여성,일반수급자,75~79세,209
202006,서울특별시,종로구,여성,일반수급자,80~89세,242
202006,서울특별시,종로구,여성,일반수급자,90세이상,43
202006,서울특별시,종로구,남성,조건부수급자,7세미만,7
202006,서울특별시,종로구,남성,조건부수급자,7~12세,6
202006,서울특별시,종로구,남성,조건부수급자,13~15세,6
202006,서울특별시,종로구,남성,일반수급자,16~18세,55
202006,서울특별시,종로구,남성,조건부수급자,16~18세,12
202006,서울특별시,종로구,남성,조건부수급자,19~29세,28
202006,서울특별시,종로구,남성,조건부수급자,30~39세,7
202006,서울특별시,종로구,남성,조건부수급자,40~49세,41
202006,서울특별시,종로구,남성,조건부수급자,50~59세,118
202006,서울특별시,종로구,남성,조건부수급자,60~64세,75
202006,서울특별시,종로구,남성,조건부수급자,65~69세,4
202006,서울특별시,종로구,남성,조건부수급자,70~74세,3
202006,서울특별시,종로구,남성,조건부수급자,80~89세,1
202006,서울특별시,종로구,여성,조건부수급자,7세미만,6
202006,서울특별시,종로구,여성,조건부수급자,7~12세,8
202006,서울특별시,종로구,여성,조건부수급자,13~15세,4
202006,서울특별시,종로구,여성,조건부수급자,16~18세,9
202006,서울특별시,중구,여성,조건부수급자,19~29세,31
202006,서울특별시,중구,여성,조건부수급자,30~39세,8
202006,서울특별시,중구,여성,조건부수급자,40~49세,24
202006,서울특별시,중구,여성,조건부수급자,50~59세,40
202006,서울특별시,중구,여성,조건부수급자,60~64세,19
202006,서울특별시,중구,여성,조건부수급자,65~69세,4
202006,서울특별시,중구,여성,조건부수급자,70~74세,2
202006,서울특별시,중구,여성,조건부수급자,75~79세,1
202006,서울특별시,중구,여성,조건부수급자,80~89세,5
202006,서울특별시,중구,여성,조건부수급자,90세이상,1
202006,서울특별시,중구,남성,시설수급자,7세미만,24
202006,서울특별시,중구,남성,일반수급자,30~39세,66
202006,서울특별시,중구,남성,시설수급자,7~12세,20
202006,서울특별시,중구,남성,시설수급자,13~15세,1
202006,서울특별시,중구,남성,시설수급자,16~18세,6
202006,서울특별시,중구,남성,시설수급자,19~29세,1
202006,서울특별시,중구,남성,시설수급자,60~64세,1
202006,서울특별시,중구,남성,시설수급자,65~69세,1
202006,서울특별시,중구,남성,시설수급자,80~89세,1
202006,서울특별시,중구,여성,시설수급자,7세미만,27
202006,서울특별시,중구,여성,시설수급자,7~12세,14
202006,서울특별시,중구,여성,시설수급자,13~15세,3
202006,서울특별시,중구,여성,시설수급자,16~18세,4
202006,서울특별시,중구,여성,시설수급자,19~29세,1
202006,서울특별시,중구,남성,일반수급자,40~49세,186
202006,서울특별시,중구,여성,시설수급자,60~64세,1
202006,서울특별시,중구,여성,시설수급자,65~69세,1
202006,서울특별시,중구,여성,시설수급자,75~79세,1
202006,서울특별시,중구,여성,시설수급자,80~89세,6
202006,서울특별시,중구,여성,시설수급자,90세이상,2
202006,서울특별시,중구,남성,특례수급자,7~12세,1
202006,서울특별시,중구,남성,일반수급자,7세미만,27
202006,서울특별시,중구,남성,특례수급자,16~18세,2
202006,서울특별시,중구,남성,특례수급자,19~29세,2
202006,서울특별시,중구,남성,일반수급자,50~59세,494
202006,서울특별시,중구,남성,특례수급자,30~39세,1
202006,서울특별시,중구,남성,특례수급자,40~49세,6
202006,서울특별시,중구,남성,특례수급자,50~59세,15
202006,서울특별시,중구,남성,특례수급자,60~64세,16
202006,서울특별시,중구,남성,특례수급자,65~69세,4
202006,서울특별시,중구,남성,특례수급자,70~74세,3
202006,서울특별시,중구,남성,특례수급자,75~79세,5
202006,서울특별시,중구,남성,특례수급자,80~89세,4
202006,서울특별시,중구,남성,특례수급자,90세이상,1
202006,서울특별시,중구,여성,특례수급자,19~29세,1
202006,서울특별시,중구,남성,일반수급자,60~64세,318
202006,서울특별시,중구,여성,특례수급자,40~49세,1
202006,서울특별시,중구,여성,특례수급자,50~59세,6
202006,서울특별시,중구,여성,특례수급자,60~64세,7
202006,서울특별시,중구,남성,일반수급자,65~69세,384
202006,서울특별시,중구,여성,특례수급자,65~69세,3
202006,서울특별시,중구,여성,특례수급자,70~74세,11
202006,서울특별시,중구,여성,특례수급자,75~79세,9
202006,서울특별시,중구,여성,특례수급자,80~89세,14
202006,서울특별시,중구,여성,특례수급자,90세이상,2
202006,서울특별시,중구,남성,일반수급자,70~74세,269
202006,서울특별시,중구,남성,일반수급자,75~79세,186
202006,서울특별시,중구,남성,일반수급자,80~89세,152
202006,서울특별시,중구,남성,일반수급자,90세이상,13
202006,서울특별시,중구,여성,일반수급자,7세미만,16
202006,서울특별시,중구,여성,일반수급자,7~12세,76
202006,서울특별시,중구,여성,일반수급자,13~15세,53
202006,서울특별시,중구,남성,일반수급자,7~12세,78
202006,서울특별시,중구,여성,일반수급자,16~18세,73
202006,서울특별시,중구,여성,일반수급자,19~29세,81
202006,서울특별시,중구,여성,일반수급자,30~39세,62
202006,서울특별시,중구,여성,일반수급자,40~49세,150
202006,서울특별시,중구,여성,일반수급자,50~59세,228
202006,서울특별시,중구,여성,일반수급자,60~64세,147
202006,서울특별시,중구,여성,일반수급자,65~69세,230
202006,서울특별시,중구,여성,일반수급자,70~74세,237
202006,서울특별시,중구,여성,일반수급자,75~79세,266
202006,서울특별시,중구,여성,일반수급자,80~89세,337
202006,서울특별시,중구,여성,일반수급자,90세이상,70
202006,서울특별시,중구,남성,일반수급자,13~15세,58
202006,서울특별시,중구,남성,조건부수급자,7세미만,5
202006,서울특별시,중구,남성,조건부수급자,7~12세,6
202006,서울특별시,중구,남성,조건부수급자,13~15세,5
202006,서울특별시,중구,남성,조건부수급자,16~18세,8
202006,서울특별시,중구,남성,조건부수급자,19~29세,24
202006,서울특별시,중구,남성,조건부수급자,30~39세,10
202006,서울특별시,중구,남성,조건부수급자,40~49세,33
202006,서울특별시,중구,남성,조건부수급자,50~59세,91
202006,서울특별시,중구,남성,조건부수급자,60~64세,61
