통계년월,통계시도명,통계시군구명,성별,수급자구분,연령구간,수급자수
202011,서울특별시,종로구,여성,조건부수급자,19~29세,40
202011,서울특별시,종로구,여성,조건부수급자,30~39세,14
202011,서울특별시,종로구,여성,조건부수급자,40~49세,43
202011,서울특별시,종로구,여성,조건부수급자,50~59세,39
202011,서울특별시,종로구,남성,일반수급자,19~29세,76
202011,서울특별시,종로구,여성,조건부수급자,60~64세,32
202011,서울특별시,종로구,여성,조건부수급자,65~69세,2
202011,서울특별시,종로구,여성,조건부수급자,70~74세,1
202011,서울특별시,종로구,여성,조건부수급자,80~89세,3
202011,서울특별시,종로구,남성,시설수급자,7세미만,2
202011,서울특별시,종로구,남성,시설수급자,7~12세,2
202011,서울특별시,종로구,남성,시설수급자,19~29세,6
202011,서울특별시,종로구,남성,시설수급자,30~39세,48
202011,서울특별시,종로구,남성,시설수급자,40~49세,79
202011,서울특별시,종로구,남성,일반수급자,30~39세,64
202011,서울특별시,종로구,남성,시설수급자,50~59세,41
202011,서울특별시,종로구,남성,시설수급자,60~64세,15
202011,서울특별시,종로구,남성,시설수급자,65~69세,16
202011,서울특별시,종로구,남성,시설수급자,70~74세,8
202011,서울특별시,종로구,남성,일반수급자,40~49세,161
202011,서울특별시,종로구,남성,시설수급자,75~79세,3
202011,서울특별시,종로구,여성,시설수급자,7세미만,27
202011,서울특별시,종로구,여성,시설수급자,7~12세,19
202011,서울특별시,종로구,여성,시설수급자,13~15세,2
202011,서울특별시,종로구,여성,시설수급자,16~18세,5
202011,서울특별시,종로구,여성,시설수급자,19~29세,16
202011,서울특별시,종로구,여성,시설수급자,30~39세,42
202011,서울특별시,종로구,여성,시설수급자,40~49세,60
202011,서울특별시,종로구,여성,시설수급자,50~59세,63
202011,서울특별시,종로구,여성,시설수급자,60~64세,31
202011,서울특별시,종로구,남성,일반수급자,50~59세,493
202011,서울특별시,종로구,여성,시설수급자,65~69세,28
202011,서울특별시,종로구,여성,시설수급자,70~74세,18
202011,서울특별시,종로구,여성,시설수급자,75~79세,10
202011,서울특별시,종로구,여성,시설수급자,80~89세,41
202011,서울특별시,종로구,여성,시설수급자,90세이상,28
202011,서울특별시,종로구,남성,특례수급자,7~12세,2
202011,서울특별시,종로구,남성,특례수급자,16~18세,1
202011,서울특별시,종로구,남성,특례수급자,19~29세,1
202011,서울특별시,종로구,남성,특례수급자,30~39세,8
202011,서울특별시,종로구,남성,특례수급자,40~49세,12
202011,서울특별시,종로구,남성,특례수급자,50~59세,41
202011,서울특별시,종로구,남성,특례수급자,60~64세,30
202011,서울특별시,종로구,남성,특례수급자,65~69세,8
202011,서울특별시,종로구,남성,일반수급자,60~64세,324
202011,서울특별시,종로구,남성,특례수급자,70~74세,11
202011,서울특별시,종로구,남성,특례수급자,75~79세,5
202011,서울특별시,종로구,남성,특례수급자,80~89세,8
202011,서울특별시,종로구,남성,특례수급자,90세이상,1
202011,서울특별시,종로구,여성,특례수급자,16~18세,3
202011,서울특별시,종로구,여성,특례수급자,19~29세,1
202011,서울특별시,종로구,여성,특례수급자,30~39세,2
202011,서울특별시,종로구,여성,특례수급자,40~49세,9
202011,서울특별시,종로구,여성,특례수급자,50~59세,4
202011,서울특별시,종로구,여성,특례수급자,60~64세,3
202011,서울특별시,종로구,여성,특례수급자,65~69세,9
202011,서울특별시,종로구,여성,특례수급자,70~74세,16
202011,서울특별시,종로구,여성,특례수급자,75~79세,19
202011,서울특별시,종로구,여성,특례수급자,80~89세,21
202011,서울특별시,종로구,여성,특례수급자,90세이상,3
202011,서울특별시,종로구,남성,기타수급자,60~64세,1
202011,서울특별시,종로구,여성,기타수급자,19~29세,1
202011,서울특별시,종로구,남성,일반수급자,65~69세,367
202011,서울특별시,종로구,남성,일반수급자,70~74세,233
202011,서울특별시,종로구,남성,일반수급자,75~79세,218
202011,서울특별시,종로구,남성,일반수급자,7~12세,69
202011,서울특별시,종로구,남성,일반수급자,80~89세,128
202011,서울특별시,종로구,남성,일반수급자,90세이상,12
202011,서울특별시,종로구,여성,일반수급자,7세미만,16
202011,서울특별시,종로구,여성,일반수급자,7~12세,56
202011,서울특별시,종로구,여성,일반수급자,13~15세,46
202011,서울특별시,종로구,여성,일반수급자,16~18세,64
202011,서울특별시,종로구,여성,일반수급자,19~29세,58
202011,서울특별시,종로구,남성,일반수급자,7세미만,6
202011,서울특별시,종로구,여성,일반수급자,30~39세,76
202011,서울특별시,종로구,여성,일반수급자,40~49세,126
202011,서울특별시,종로구,여성,일반수급자,50~59세,192
202011,서울특별시,종로구,남성,일반수급자,13~15세,48
202011,서울특별시,종로구,여성,일반수급자,60~64세,119
202011,서울특별시,종로구,여성,일반수급자,65~69세,167
202011,서울특별시,종로구,여성,일반수급자,70~74세,160
202011,서울특별시,종로구,여성,일반수급자,75~79세,212
202011,서울특별시,종로구,여성,일반수급자,80~89세,250
202011,서울특별시,종로구,여성,일반수급자,90세이상,51
202011,서울특별시,종로구,남성,조건부수급자,7세미만,7
202011,서울특별시,종로구,남성,조건부수급자,7~12세,5
202011,서울특별시,종로구,남성,조건부수급자,13~15세,7
202011,서울특별시,종로구,남성,일반수급자,16~18세,55
202011,서울특별시,종로구,남성,조건부수급자,16~18세,9
202011,서울특별시,종로구,남성,조건부수급자,19~29세,31
202011,서울특별시,종로구,남성,조건부수급자,30~39세,7
202011,서울특별시,종로구,남성,조건부수급자,40~49세,44
202011,서울특별시,종로구,남성,조건부수급자,50~59세,145
202011,서울특별시,종로구,남성,조건부수급자,60~64세,63
202011,서울특별시,종로구,남성,조건부수급자,65~69세,7
202011,서울특별시,종로구,남성,조건부수급자,70~74세,1
202011,서울특별시,종로구,남성,조건부수급자,75~79세,2
202011,서울특별시,종로구,여성,조건부수급자,7세미만,8
202011,서울특별시,종로구,여성,조건부수급자,7~12세,8
202011,서울특별시,종로구,여성,조건부수급자,13~15세,4
202011,서울특별시,종로구,여성,조건부수급자,16~18세,8
202011,서울특별시,중구,여성,조건부수급자,19~29세,41
202011,서울특별시,중구,여성,조건부수급자,30~39세,9
202011,서울특별시,중구,여성,조건부수급자,40~49세,29
202011,서울특별시,중구,여성,조건부수급자,50~59세,46
202011,서울특별시,중구,여성,조건부수급자,60~64세,22
202011,서울특별시,중구,여성,조건부수급자,65~69세,4
202011,서울특별시,중구,여성,조건부수급자,70~74세,3
202011,서울특별시,중구,여성,조건부수급자,80~89세,5
