연월,자치구명,7세미만,65~69세,70~74세,75~79세,80~89세,90세이상,합계,점수
201601,강남구,390,906,876,665,632,138,3607,3
201601,강동구,254,637,626,585,576,109,2787,2
201601,강북구,354,"1,004","1,203",982,869,124,4536,4
201601,강서구,370,"1,384","1,490","1,420","1,486",264,6414,6
201601,관악구,304,891,956,874,820,115,3960,3
201601,광진구,143,443,478,397,439,60,1960,1
201601,구로구,282,528,662,671,556,77,2776,2
201601,금천구,234,633,772,625,626,85,2975,2
201601,노원구,495,"1,667","1,921","1,640","1,657",307,7687,7
201601,도봉구,213,556,668,631,626,96,2790,2
201601,동대문구,202,968,"1,077",903,715,104,3969,3
201601,동작구,238,528,625,568,552,98,2609,2
201601,마포구,256,559,679,540,558,89,2681,2
201601,서대문구,540,464,553,531,503,68,2659,2
201601,서초구,182,275,344,246,291,46,1384,1
201601,성동구,135,492,569,514,465,57,2232,1
201601,성북구,354,862,988,883,788,134,4009,3
201601,송파구,196,571,576,477,500,92,2412,2
201601,양천구,260,633,706,687,629,93,3008,2
201601,영등포구,182,805,748,611,599,109,3054,2
201601,용산구,153,531,534,496,384,68,2166,1
201601,은평구,442,"1,283","1,303","1,091","1,013",136,5268,5
201601,종로구,40,359,424,303,302,78,1506,1
201601,중구,75,368,379,327,342,35,1526,1
201601,중랑구,347,"1,015","1,044",864,982,180,4432,4
201602,강남구,378,908,884,668,645,137,3620,3
201602,강동구,256,632,626,593,577,109,2793,2
201602,강북구,362,"1,021","1,203",978,880,125,4569,4
201602,강서구,360,"1,387","1,500","1,429","1,493",264,6433,6
201602,관악구,317,913,942,887,832,120,4011,3
201602,광진구,142,453,475,408,441,59,1978,1
201602,구로구,279,546,662,671,578,77,2813,2
201602,금천구,240,639,777,630,627,80,2993,2
201602,노원구,491,"1,668","1,899","1,660","1,674",310,7702,7
201602,도봉구,221,564,673,654,632,95,2839,2
201602,동대문구,203,976,"1,075",911,725,103,3993,3
201602,동작구,245,526,633,577,552,102,2635,2
201602,마포구,238,563,677,536,567,92,2673,2
201602,서대문구,563,467,556,533,518,69,2706,2
201602,서초구,184,274,346,254,291,48,1397,1
201602,성동구,134,497,568,511,475,57,2242,1
201602,성북구,352,875,987,891,794,131,4030,3
201602,송파구,194,572,569,486,507,92,2420,2
201602,양천구,260,633,715,688,628,96,3020,2
201602,영등포구,185,809,739,616,599,109,3057,2
201602,용산구,151,529,533,501,390,69,2173,1
201602,은평구,440,"1,292","1,298","1,099","1,052",137,5318,5
201602,종로구,35,356,418,302,304,81,1496,1
201602,중구,77,366,378,329,345,35,1530,1
201602,중랑구,345,"1,027","1,040",880,989,185,4466,4
201603,강남구,407,915,884,679,654,131,3670,3
201603,강동구,262,645,625,604,595,110,2841,2
201603,강북구,358,"1,014","1,206",996,894,127,4595,4
201603,강서구,368,"1,389","1,491","1,443","1,499",267,6457,6
201603,관악구,317,911,944,900,826,128,4026,3
201603,광진구,143,446,475,411,447,62,1984,1
201603,구로구,282,555,661,673,583,77,2831,2
201603,금천구,252,642,775,628,633,82,3012,2
201603,노원구,496,"1,671","1,886","1,667","1,688",306,7714,7
201603,도봉구,229,573,674,654,639,100,2869,2
201603,동대문구,203,973,"1,076",902,734,103,3991,3
201603,동작구,243,531,639,571,563,105,2652,2
201603,마포구,240,564,682,538,574,93,2691,2
201603,서대문구,504,476,555,538,530,67,2670,2
201603,서초구,181,275,340,261,296,47,1400,1
201603,성동구,137,505,571,513,476,61,2263,1
