지역(구),기준년월,가정용데이터,5점_점수화,10점_점수화
강남구,2016.01,"76,886",2,4
강남구,2016.02,"74,561",3,5
강남구,2016.03,"68,890",3,5
강남구,2016.04,"67,408",3,5
강남구,2016.05,"64,555",3,6
강남구,2016.06,"69,188",3,5
강남구,2016.07,"79,953",2,4
강남구,2016.08,"105,244",1,2
강남구,2016.09,"81,171",2,4
강남구,2016.1,"66,176",3,6
강남구,2016.11,"67,345",3,5
강남구,2016.12,"70,265",3,5
강남구,2017.01,"73,820",3,5
강남구,2017.02,"72,524",3,5
강남구,2017.03,"65,547",3,6
강남구,2017.04,"66,363",3,5
강남구,2017.05,"62,844",3,6
강남구,2017.06,"66,458",3,5
강남구,2017.07,"85,137",2,4
강남구,2017.08,"96,493",2,3
강남구,2017.09,"73,177",3,5
강남구,2017.1,"63,822",3,6
강남구,2017.11,"66,164",3,6
강남구,2017.12,"71,078",3,5
강남구,2018.01,"75,165",3,5
강남구,2018.02,"73,740",3,5
강남구,2018.03,"65,527",3,6
강남구,2018.04,"65,784",3,6
강남구,2018.05,"62,894",3,6
강남구,2018.06,"67,316",3,5
강남구,2018.07,"84,713",2,4
강남구,2018.08,"118,932",1,1
강남구,2018.09,"79,711",2,4
강남구,2018.1,"64,060",3,6
강남구,2018.11,"66,151",3,6
강남구,2018.12,"70,157",3,5
강남구,2019.01,"74,371",3,5
강남구,2019.02,"70,907",3,5
강남구,2019.03,"64,712",3,6
강남구,2019.04,"65,830",3,6
강남구,2019.05,"62,894",3,6
강남구,2019.06,"66,605",3,5
강남구,2019.07,"78,990",2,4
강남구,2019.08,"103,080",1,2
강남구,2019.09,"82,530",2,4
강남구,2019.1,"67,143",3,5
강남구,2019.11,"66,629",3,5
강남구,2019.12,"70,894",3,5
강동구,2016.01,"47,885",4,7
강동구,2016.02,"48,536",4,7
강동구,2016.03,"43,122",4,8
강동구,2016.04,"42,643",4,8
강동구,2016.05,"40,038",4,8
강동구,2016.06,"41,892",4,8
강동구,2016.07,"45,174",4,8
강동구,2016.08,"59,610",3,6
강동구,2016.09,"48,589",4,7
강동구,2016.1,"39,659",4,8
강동구,2016.11,"42,098",4,8
강동구,2016.12,"44,137",4,8
강동구,2017.01,"47,070",4,7
강동구,2017.02,"47,657",4,7
강동구,2017.03,"41,563",4,8
강동구,2017.04,"42,969",4,8
강동구,2017.05,"39,951",4,8
강동구,2017.06,"41,318",4,8
강동구,2017.07,"49,066",4,7
강동구,2017.08,"57,430",3,6
강동구,2017.09,"44,695",4,8
강동구,2017.1,"39,546",4,8
강동구,2017.11,"41,873",4,8
강동구,2017.12,"44,798",4,8
강동구,2018.01,"47,945",4,7
강동구,2018.02,"48,230",4,7
강동구,2018.03,"40,646",4,8
강동구,2018.04,"41,511",4,8
강동구,2018.05,"39,004",4,8
강동구,2018.06,"40,954",4,8
강동구,2018.07,"47,327",4,7
강동구,2018.08,"71,180",3,5
강동구,2018.09,"48,181",4,7
강동구,2018.1,"38,631",4,8
강동구,2018.11,"40,414",4,8
강동구,2018.12,"43,046",4,8
강동구,2019.01,"46,959",4,7
강동구,2019.02,"45,803",4,7
강동구,2019.03,"39,840",4,8
강동구,2019.04,"42,144",4,8
강동구,2019.05,"39,176",4,8
강동구,2019.06,"40,574",4,8
강동구,2019.07,"45,066",4,8
강동구,2019.08,"61,399",3,6
강동구,2019.09,"51,377",4,7
강동구,2019.1,"41,937",4,8
강동구,2019.11,"43,414",4,8
강동구,2019.12,"46,730",4,7
강북구,2016.01,"34,979",4,8
강북구,2016.02,"35,791",4,8
강북구,2016.03,"31,750",5,9
강북구,2016.04,"31,510",5,9
강북구,2016.05,"29,366",5,9
강북구,2016.06,"30,310",5,9
강북구,2016.07,"32,081",5,9
강북구,2016.08,"42,093",4,8
강북구,2016.09,"36,854",4,8
강북구,2016.1,"29,213",5,9
강북구,2016.11,"30,776",5,9
강북구,2016.12,"32,075",5,9
강북구,2017.01,"34,646",5,9
강북구,2017.02,"35,516",4,8
강북구,2017.03,"30,371",5,9
강북구,2017.04,"31,586",5,9
강북구,2017.05,"29,179",5,9
강북구,2017.06,"29,798",5,9
강북구,2017.07,"33,730",5,9
강북구,2017.08,"40,990",4,8
강북구,2017.09,"33,161",5,9
강북구,2017.1,"29,170",5,9
강북구,2017.11,"30,866",5,9
강북구,2017.12,"33,149",5,9
강북구,2018.01,"35,976",4,8
강북구,2018.02,"36,600",4,8
강북구,2018.03,"30,986",5,9
강북구,2018.04,"31,636",5,9
강북구,2018.05,"29,422",5,9
강북구,2018.06,"30,432",5,9
강북구,2018.07,"33,300",5,9
강북구,2018.08,"50,984",4,7
강북구,2018.09,"37,824",4,8
강북구,2018.1,"28,938",5,9
강북구,2018.11,"30,886",5,9
강북구,2018.12,"32,297",5,9
강북구,2019.01,"35,394",4,8
강북구,2019.02,"34,888",4,8
강북구,2019.03,"29,837",5,9
강북구,2019.04,"31,502",5,9
강북구,2019.05,"29,004",5,9
강북구,2019.06,"29,633",5,9
강북구,2019.07,"31,721",5,9
강북구,2019.08,"42,679",4,8
강북구,2019.09,"37,413",4,8
강북구,2019.1,"29,815",5,9
강북구,2019.11,"30,578",5,9
강북구,2019.12,"32,243",5,9
강서구,2016.01,"65,615",3,6
강서구,2016.02,"67,011",3,5
강서구,2016.03,"59,972",3,6
강서구,2016.04,"60,028",3,6
강서구,2016.05,"56,294",3,6
강서구,2016.06,"58,382",3,6
강서구,2016.07,"62,929",3,6
강서구,2016.08,"84,325",2,4
강서구,2016.09,"72,394",3,5
강서구,2016.1,"57,073",3,6
강서구,2016.11,"60,454",3,6
강서구,2016.12,"62,455",3,6
강서구,2017.01,"67,289",3,5
강서구,2017.02,"68,026",3,5
강서구,2017.03,"59,323",3,6
강서구,2017.04,"61,596",3,6
강서구,2017.05,"57,461",3,6
강서구,2017.06,"59,326",3,6
강서구,2017.07,"68,896",3,5
강서구,2017.08,"85,429",2,4
강서구,2017.09,"67,415",3,5
강서구,2017.1,"58,662",3,6
강서구,2017.11,"61,073",3,6
강서구,2017.12,"65,139",3,6
강서구,2018.01,"70,272",3,5
강서구,2018.02,"71,268",3,5
강서구,2018.03,"60,896",3,6
강서구,2018.04,"62,615",3,6
강서구,2018.05,"58,712",3,6
강서구,2018.06,"61,310",3,6
강서구,2018.07,"68,819",3,5
강서구,2018.08,"104,016",1,2
강서구,2018.09,"76,502",3,5
강서구,2018.1,"59,343",3,6
강서구,2018.11,"60,557",3,6
강서구,2018.12,"64,531",3,6
강서구,2019.01,"70,231",3,5
강서구,2019.02,"68,582",3,5
강서구,2019.03,"60,478",3,6
강서구,2019.04,"63,300",3,6
강서구,2019.05,"58,872",3,6
강서구,2019.06,"60,756",3,6
강서구,2019.07,"66,570",3,5
강서구,2019.08,"89,456",2,3
강서구,2019.09,"78,638",2,4
강서구,2019.1,"61,939",3,6
강서구,2019.11,"61,322",3,6
강서구,2019.12,"64,452",3,6
관악구,2016.01,"55,611",4,7
관악구,2016.02,"56,996",3,6
관악구,2016.03,"50,570",4,7
관악구,2016.04,"50,765",4,7
관악구,2016.05,"47,313",4,7
관악구,2016.06,"49,385",4,7
관악구,2016.07,"53,220",4,7
관악구,2016.08,"70,217",3,5
관악구,2016.09,"59,978",3,6
관악구,2016.1,"47,849",4,7
관악구,2016.11,"49,777",4,7
관악구,2016.12,"51,518",4,7
관악구,2017.01,"55,410",4,7
관악구,2017.02,"56,329",3,6
관악구,2017.03,"48,354",4,7
관악구,2017.04,"50,446",4,7
관악구,2017.05,"46,775",4,7
관악구,2017.06,"48,492",4,7
관악구,2017.07,"56,261",3,6
관악구,2017.08,"67,834",3,5
관악구,2017.09,"54,402",4,7
관악구,2017.1,"47,096",4,7
