지역(구),기준년월,연도,전기요금총액(원),연근로소득(원),월근로소득(원),전기요금지출비율,비율X10000,점수(1-10),점수(1-5)
강남구,201601,2016,"10,135,147,698","31,923,059,000,000","2,660,254,916,667",0.00381,38.1,1,1
강남구,201602,2016,"9,609,392,111","31,923,059,000,000","2,660,254,916,667",0.00361,36.1,1,1
강남구,201603,2016,"8,362,895,809","31,923,059,000,000","2,660,254,916,667",0.00314,31.4,1,1
강남구,201604,2016,"8,216,143,650","31,923,059,000,000","2,660,254,916,667",0.00309,30.9,1,1
강남구,201605,2016,"7,757,322,260","31,923,059,000,000","2,660,254,916,667",0.00292,29.2,1,1
강남구,201606,2016,"9,053,666,867","31,923,059,000,000","2,660,254,916,667",0.0034,34,1,1
강남구,201607,2016,"12,577,338,876","31,923,059,000,000","2,660,254,916,667",0.00473,47.3,1,1
강남구,201608,2016,"21,102,816,336","31,923,059,000,000","2,660,254,916,667",0.00793,79.3,1,1
강남구,201609,2016,"7,967,337,963","31,923,059,000,000","2,660,254,916,667",0.00299,29.9,1,1
강남구,201610,2016,"7,589,636,988","31,923,059,000,000","2,660,254,916,667",0.00285,28.5,1,1
강남구,201611,2016,"8,241,173,663","31,923,059,000,000","2,660,254,916,667",0.0031,31,1,1
강남구,201612,2016,"7,804,922,802","31,923,059,000,000","2,660,254,916,667",0.00293,29.3,1,1
강남구,201701,2017,"7,836,084,786","34,245,074,000,000","2,853,756,166,667",0.00275,27.5,1,1
강남구,201702,2017,"7,609,527,072","34,245,074,000,000","2,853,756,166,667",0.00267,26.7,1,1
강남구,201703,2017,"6,468,822,750","34,245,074,000,000","2,853,756,166,667",0.00227,22.7,1,1
강남구,201704,2017,"6,758,465,364","34,245,074,000,000","2,853,756,166,667",0.00237,23.7,1,1
강남구,201705,2017,"6,317,957,019","34,245,074,000,000","2,853,756,166,667",0.00221,22.1,1,1
강남구,201706,2017,"6,939,743,355","34,245,074,000,000","2,853,756,166,667",0.00243,24.3,1,1
강남구,201707,2017,"11,016,626,925","34,245,074,000,000","2,853,756,166,667",0.00386,38.6,1,1
강남구,201708,2017,"13,580,870,520","34,245,074,000,000","2,853,756,166,667",0.00476,47.6,1,1
강남구,201709,2017,"8,141,926,035","34,245,074,000,000","2,853,756,166,667",0.00285,28.5,1,1
강남구,201710,2017,"6,475,587,810","34,245,074,000,000","2,853,756,166,667",0.00227,22.7,1,1
강남구,201711,2017,"6,796,827,175","34,245,074,000,000","2,853,756,166,667",0.00238,23.8,1,1
강남구,201712,2017,"7,540,593,137","34,245,074,000,000","2,853,756,166,667",0.00264,26.4,1,1
강남구,201801,2018,"8,306,562,451","36,665,195,000,000","3,055,432,916,667",0.00272,27.2,1,1
