통계시군구명,에너지바우처인원,월평균사용량,연료비비율
노원구,7747,57127,3.54
강서구,6542,63911,1.25
은평구,5345,50081,5.57
강북구,4653,33066,5.15
중랑구,4555,42386,4.22
성북구,4059,49383,3.25
관악구,4046,53599,3.33
동대문구,3997,40671,1.95
강남구,3675,74303,0.37
금천구,3046,23731,0.54
양천구,3045,52525,3.28
영등포구,3023,47151,0.26
도봉구,2930,35307,4.67
강동구,2870,45281,2.18
구로구,2868,47272,1.09
서대문구,2710,34873,1.55
동작구,2700,41689,2.03
마포구,2692,46607,0.8
송파구,2502,71886,0.99
성동구,2265,33623,0.82
용산구,2171,33009,0.34
광진구,2002,38330,2.36
중구,1561,15898,0.11
종로구,1513,20920,0.17
서초구,1417,56659,0.5
