행정구역(시군구)별,2016. 01,,,2016. 02,,,2016. 03,,,2016. 04,,,2016. 05,,,2016. 06,,,2016. 07,,,2016. 08,,,2016. 09,,,2016. 10,,,2016. 11,,,2016. 12,,,2017. 01,,,2017. 02,,,2017. 03,,,2017. 04,,,2017. 05,,,2017. 06,,,2017. 07,,,2017. 08,,,2017. 09,,,2017. 10,,,2017. 11,,,2017. 12,,,2018. 01,,,2018. 02,,,2018. 03,,,2018. 04,,,2018. 05,,,2018. 06,,,2018. 07,,,2018. 08,,,2018. 09,,,2018. 10,,,2018. 11,,,2018. 12,,,2019. 01,,,2019. 02,,,2019. 03,,,2019. 04,,,2019. 05,,,2019. 06,,,2019. 07,,,2019. 08,,,2019. 09,,,2019. 10,,,2019. 11,,,2019. 12,,,2020. 01,,,2020. 02,,,2020. 03,,,2020. 04,,,2020. 05,,,2020. 06,,,2020. 07,,,2020. 08,,,2020. 09,,,2020. 10,,,2020. 11,,,2020. 12,,
,총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
서울특별시,"10,018,537","4,927,897","5,090,640","10,014,261","4,924,977","5,089,284","10,009,588","4,922,103","5,087,485","10,002,979","4,918,312","5,084,667","9,995,784","4,914,078","5,081,706","9,989,795","4,910,202","5,079,593","9,981,673","4,905,463","5,076,210","9,971,111","4,899,436","5,071,675","9,964,291","4,895,508","5,068,783","9,954,791","4,890,007","5,064,784","9,943,333","4,883,805","5,059,528","9,930,616","4,876,789","5,053,827","9,930,478","4,875,745","5,054,733","9,931,412","4,874,839","5,056,573","9,926,968","4,871,560","5,055,408","9,922,745","4,868,367","5,054,378","9,919,016","4,865,778","5,053,238","9,914,381","4,862,573","5,051,808","9,908,612","4,859,039","5,049,573","9,902,072","4,855,013","5,047,059","9,891,448","4,849,195","5,042,253","9,882,810","4,844,555","5,038,255","9,870,167","4,837,345","5,032,822","9,857,426","4,830,206","5,027,220","9,851,767","4,826,345","5,025,422","9,845,336","4,822,071","5,023,265","9,838,892","4,817,507","5,021,385","9,830,452","4,812,514","5,017,938","9,820,971","4,806,841","5,014,130","9,814,049","4,802,769","5,011,280","9,806,538","4,798,255","5,008,283","9,799,075","4,793,529","5,005,546","9,793,003","4,789,821","5,003,182","9,784,112","4,784,674","4,999,438","9,774,088","4,778,917","4,995,171","9,765,623","4,773,899","4,991,724","9,766,288","4,772,822","4,993,466","9,770,638","4,773,605","4,997,033","9,770,216","4,772,134","4,998,082","9,766,886","4,769,474","4,997,412","9,762,062","4,766,085","4,995,977","9,757,144","4,762,711","4,994,433","9,751,415","4,759,105","4,992,310","9,744,888","4,754,998","4,989,890","9,740,398","4,751,696","4,988,702","9,736,289","4,749,055","4,987,234","9,732,577","4,746,636","4,985,941","9,729,107","4,744,059","4,985,048","9,733,509","4,745,088","4,988,421","9,736,962","4,745,133","4,991,829","9,733,655","4,742,217","4,991,438","9,726,787","4,737,843","4,988,944","9,724,496","4,735,431","4,989,065","9,720,846","4,732,275","4,988,571","9,715,429","4,728,872","4,986,557","9,708,247","4,724,585","4,983,662","9,699,232","4,719,170","4,980,062","9,689,159","4,713,716","4,975,443","9,679,771","4,708,321","4,971,450","9,668,465","4,701,723","4,966,742"
　　　종로구,"154,856","76,459","78,397","154,950","76,522","78,428","155,142","76,593","78,549","154,919","76,474","78,445","154,626","76,302","78,324","154,365","76,126","78,239","154,201","76,021","78,180","153,961","75,881","78,080","153,793","75,744","78,049","153,581","75,631","77,950","153,232","75,450","77,782","152,737","75,201","77,536","152,405","75,034","77,371","152,398","75,035","77,363","153,589","75,611","77,978","153,937","75,736","78,201","154,293","75,896","78,397","154,408","75,924","78,484","154,802","76,084","78,718","155,035","76,162","78,873","155,109","76,155","78,954","155,103","76,138","78,965","154,906","75,999","78,907","154,770","75,967","78,803","154,619","75,854","78,765","154,509","75,746","78,763","154,549","75,749","78,800","154,312","75,543","78,769","154,104","75,421","78,683","153,780","75,247","78,533","153,531","75,111","78,420","153,401","75,059","78,342","153,396","75,024","78,372","153,296","74,942","78,354","153,172","74,881","78,291","153,065","74,825","78,240","152,866","74,700","78,166","152,880","74,662","78,218","152,778","74,536","78,242","152,495","74,401","78,094","152,220","74,240","77,980","152,026","74,190","77,836","151,858","74,113","77,745","151,766","74,037","77,729","151,767","73,952","77,815","151,541","73,826","77,715","151,457","73,811","77,646","151,290","73,746","77,544","151,215","73,688","77,527","151,309","73,729","77,580","151,217","73,704","77,513","150,936","73,563","77,373","150,623","73,407","77,216","150,383","73,288","77,095","150,183","73,214","76,969","149,962","73,062","76,900","149,952","73,024","76,928","149,703","72,847","76,856","149,549","72,741","76,808","149,384","72,635","76,749"
　　　중구,"125,602","62,623","62,979","125,555","62,561","62,994","125,765","62,653","63,112","125,786","62,684","63,102","125,580","62,534","63,046","125,457","62,458","62,999","125,454","62,439","63,015","125,642","62,529","63,113","125,635","62,517","63,118","125,710","62,490","63,220","125,572","62,370","63,202","125,249","62,204","63,045","124,976","62,087","62,889","124,714","61,930","62,784","124,312","61,656","62,656","124,072","61,466","62,606","124,064","61,432","62,632","123,970","61,343","62,627","123,926","61,325","62,601","124,793","61,766","63,027","125,332","62,011","63,321","125,445","62,123","63,322","125,580","62,194","63,386","125,709","62,253","63,456","125,786","62,267","63,519","125,945","62,328","63,617","126,082","62,376","63,706","125,986","62,295","63,691","126,152","62,353","63,799","126,032","62,260","63,772","125,941","62,191","63,750","125,802","62,108","63,694","125,815","62,063","63,752","125,803","62,008","63,795","125,760","61,960","63,800","125,725","61,947","63,778","125,872","62,025","63,847","125,995","62,048","63,947","125,942","61,992","63,950","125,913","61,952","63,961","125,808","61,940","63,868","126,143","62,086","64,057","126,414","62,212","64,202","126,412","62,190","64,222","126,409","62,161","64,248","126,270","62,049","64,221","126,209","61,994","64,215","126,171","61,910","64,261","126,201","61,946","64,255","126,259","61,964","64,295","126,175","61,839","64,336","126,126","61,770","64,356","126,120","61,747","64,373","126,092","61,697","64,395","125,970","61,644","64,326","125,990","61,651","64,339","125,800","61,526","64,274","125,641","61,432","64,209","125,505","61,363","64,142","125,240","61,222","64,018"
　　　용산구,"233,069","113,012","120,057","232,869","112,884","119,985","232,684","112,719","119,965","232,543","112,651","119,892","232,389","112,587","119,802","232,335","112,538","119,797","232,242","112,517","119,725","231,857","112,343","119,514","231,528","112,231","119,297","231,015","111,941","119,074","230,593","111,776","118,817","230,241","111,601","118,640","229,997","111,436","118,561","229,795","111,386","118,409","229,456","111,167","118,289","229,062","110,943","118,119","228,865","110,885","117,980","228,861","110,874","117,987","228,766","110,793","117,973","228,820","110,826","117,994","228,960","110,838","118,122","229,118","110,897","118,221","229,058","110,859","118,199","229,161","110,878","118,283","229,541","111,100","118,441","229,770","111,186","118,584","229,909","111,262","118,647","229,939","111,279","118,660","229,896","111,238","118,658","229,677","111,078","118,599","229,545","111,004","118,541","229,448","110,932","118,516","229,391","110,861","118,530","229,371","110,892","118,479","229,341","110,834","118,507","228,999","110,640","118,359","229,167","110,652","118,515","229,279","110,682","118,597","229,168","110,626","118,542","228,940","110,504","118,436","228,926","110,486","118,440","229,122","110,560","118,562","229,155","110,619","118,536","229,117","110,605","118,512","228,830","110,478","118,352","228,594","110,395","118,199","228,507","110,309","118,198","228,670","110,356","118,314","229,385","110,701","118,684","229,677","110,773","118,904","229,579","110,667","118,912","229,369","110,604","118,765","229,393","110,537","118,856","229,431","110,527","118,904","229,432","110,438","118,994","229,362","110,403","118,959","229,786","110,604","119,182","230,044","110,754","119,290","230,151","110,776","119,375","230,040","110,722","119,318"
　　　성동구,"296,888","147,437","149,451","296,697","147,283","149,414","296,575","147,198","149,377","296,594","147,201","149,393","297,195","147,462","149,733","297,558","147,650","149,908","297,618","147,641","149,977","297,705","147,685","150,020","297,615","147,613","150,002","296,955","147,234","149,721","297,210","147,340","149,870","299,259","148,326","150,933","301,040","149,152","151,888","302,612","149,857","152,755","303,380","150,076","153,304","303,576","150,118","153,458","303,818","150,153","153,665","304,049","150,185","153,864","304,236","150,246","153,990","304,785","150,456","154,329","304,879","150,523","154,356","304,828","150,501","154,327","304,860","150,448","154,412","304,808","150,368","154,440","304,955","150,316","154,639","305,200","150,362","154,838","306,532","150,937","155,595","307,460","151,358","156,102","307,630","151,409","156,221","308,066","151,571","156,495","308,519","151,711","156,808","309,037","151,924","157,113","309,251","152,006","157,245","309,147","151,893","157,254","308,773","151,711","157,062","308,221","151,359","156,862","307,723","151,071","156,652","307,064","150,682","156,382","306,404","150,287","156,117","305,785","149,928","155,857","305,436","149,718","155,718","304,936","149,412","155,524","304,292","149,082","155,210","303,730","148,813","154,917","303,158","148,510","154,648","302,198","148,005","154,193","301,527","147,641","153,886","300,889","147,273","153,616","300,410","147,020","153,390","299,797","146,688","153,109","299,042","146,300","152,742","298,249","145,833","152,416","297,820","145,567","152,253","297,397","145,258","152,139","296,896","145,030","151,866","296,183","144,701","151,482","295,591","144,444","151,147","294,895","144,059","150,836","294,272","143,745","150,527","293,556","143,387","150,169"
　　　광진구,"360,132","176,639","183,493","360,144","176,542","183,602","360,083","176,451","183,632","359,899","176,336","183,563","359,494","176,138","183,356","359,310","175,937","183,373","359,117","175,843","183,274","358,919","175,731","183,188","358,744","175,660","183,084","358,262","175,418","182,844","357,726","175,091","182,635","357,215","174,797","182,418","357,303","174,759","182,544","357,397","174,763","182,634","357,211","174,599","182,612","357,261","174,539","182,722","357,128","174,496","182,632","357,252","174,510","182,742","357,419","174,531","182,888","357,800","174,615","183,185","357,743","174,534","183,209","357,665","174,492","183,173","357,773","174,483","183,290","357,703","174,414","183,289","357,785","174,428","183,357","357,700","174,323","183,377","357,149","173,946","183,203","356,757","173,783","182,974","356,176","173,435","182,741","355,748","173,216","182,532","355,352","172,953","182,399","355,109","172,766","182,343","355,032","172,678","182,354","355,141","172,674","182,467","355,555","172,816","182,739","355,559","172,794","182,765","355,382","172,712","182,670","355,387","172,649","182,738","354,873","172,361","182,512","354,344","172,010","182,334","354,158","171,900","182,258","353,878","171,800","182,078","353,206","171,454","181,752","353,002","171,323","181,679","352,692","171,103","181,589","352,204","170,791","181,413","351,699","170,452","181,247","351,350","170,262","181,088","351,263","170,164","181,099","351,032","170,000","181,032","350,417","169,568","180,849","350,016","169,213","180,803","349,800","169,049","180,751","349,574","168,879","180,695","349,258","168,766","180,492","348,647","168,472","180,175","348,064","168,095","179,969","347,615","167,794","179,821","347,285","167,626","179,659","346,682","167,310","179,372"
　　　동대문구,"360,021","180,400","179,621","359,878","180,297","179,581","359,864","180,230","179,634","359,488","180,036","179,452","358,923","179,720","179,203","358,218","179,387","178,831","357,653","179,090","178,563","357,027","178,763","178,264","356,691","178,553","178,138","356,286","178,340","177,946","355,800","177,996","177,804","355,069","177,640","177,429","354,637","177,406","177,231","354,403","177,233","177,170","354,079","177,021","177,058","353,898","176,987","176,911","353,414","176,682","176,732","353,031","176,485","176,546","352,714","176,291","176,423","352,391","176,187","176,204","352,011","176,022","175,989","351,732","175,914","175,818","351,184","175,584","175,600","350,647","175,324","175,323","350,118","175,005","175,113","349,901","174,810","175,091","349,308","174,476","174,832","348,916","174,259","174,657","348,462","173,973","174,489","348,903","174,128","174,775","349,917","174,581","175,336","350,587","174,876","175,711","350,556","174,863","175,693","350,134","174,606","175,528","349,247","174,109","175,138","348,052","173,567","174,485","347,415","173,171","174,244","347,459","173,239","174,220","346,750","172,784","173,966","346,312","172,478","173,834","346,301","172,425","173,876","346,501","172,490","174,011","346,524","172,446","174,078","346,649","172,510","174,139","346,551","172,440","174,111","346,152","172,186","173,966","346,166","172,158","174,008","346,194","172,113","174,081","346,080","171,964","174,116","346,072","171,835","174,237","346,156","171,896","174,260","345,793","171,621","174,172","345,815","171,565","174,250","345,593","171,392","174,201","345,156","171,134","174,022","344,650","170,926","173,724","344,416","170,748","173,668","343,819","170,320","173,499","343,377","170,088","173,289","342,837","169,769","173,068"
　　　중랑구,"413,844","206,499","207,345","413,680","206,419","207,261","413,605","206,344","207,261","413,648","206,317","207,331","413,621","206,281","207,340","413,400","206,215","207,185","412,936","205,937","206,999","412,389","205,717","206,672","412,223","205,634","206,589","411,988","205,482","206,506","411,659","205,299","206,360","411,005","204,900","206,105","410,731","204,709","206,022","410,417","204,560","205,857","409,882","204,265","205,617","409,740","204,179","205,561","409,786","204,173","205,613","410,266","204,338","205,928","410,565","204,469","206,096","410,446","204,351","206,095","410,109","204,232","205,877","409,755","204,072","205,683","409,059","203,704","205,355","408,226","203,325","204,901","407,731","203,027","204,704","407,137","202,739","204,398","406,868","202,526","204,342","406,494","202,313","204,181","406,102","202,067","204,035","405,551","201,803","203,748","405,118","201,592","203,526","404,651","201,254","203,397","404,313","201,089","203,224","403,894","200,836","203,058","403,544","200,623","202,921","403,209","200,419","202,790","402,974","200,252","202,722","402,616","199,996","202,620","402,203","199,730","202,473","401,546","199,408","202,138","400,933","199,140","201,793","400,661","198,906","201,755","399,878","198,454","201,424","399,195","198,066","201,129","398,812","197,927","200,885","397,938","197,446","200,492","397,297","197,117","200,180","397,015","196,959","200,056","396,755","196,803","199,952","396,314","196,483","199,831","395,619","196,076","199,543","395,072","195,784","199,288","394,982","195,693","199,289","394,414","195,349","199,065","394,293","195,227","199,066","395,788","195,931","199,857","395,997","195,981","200,016","395,572","195,718","199,854","395,194","195,469","199,725","394,702","195,165","199,537"
　　　성북구,"458,855","224,666","234,189","458,731","224,552","234,179","458,450","224,361","234,089","458,028","224,078","233,950","457,364","223,695","233,669","456,795","223,363","233,432","455,724","222,784","232,940","454,608","222,190","232,418","453,684","221,693","231,991","452,839","221,238","231,601","451,781","220,699","231,082","450,355","219,951","230,404","449,708","219,657","230,051","450,005","219,636","230,369","449,773","219,545","230,228","449,280","219,321","229,959","448,763","219,047","229,716","448,104","218,694","229,410","447,730","218,490","229,240","447,237","218,196","229,041","446,457","217,785","228,672","445,594","217,307","228,287","444,804","216,893","227,911","444,055","216,556","227,499","443,297","216,094","227,203","442,827","215,786","227,041","442,226","215,421","226,805","441,618","215,078","226,540","440,937","214,710","226,227","440,272","214,430","225,842","439,292","213,907","225,385","438,619","213,498","225,121","438,031","213,159","224,872","437,224","212,667","224,557","436,514","212,215","224,299","435,868","211,904","223,964","435,270","211,557","223,713","435,754","211,649","224,105","438,245","212,830","225,415","439,754","213,501","226,253","440,082","213,590","226,492","440,397","213,648","226,749","441,170","214,002","227,168","441,503","214,115","227,388","441,590","214,094","227,496","443,000","214,737","228,263","443,111","214,727","228,384","442,650","214,437","228,213","442,471","214,247","228,224","442,483","214,078","228,405","442,494","213,926","228,568","442,174","213,743","228,431","442,148","213,614","228,534","441,812","213,431","228,381","441,188","213,033","228,155","440,395","212,559","227,836","439,719","212,151","227,568","438,973","211,780","227,193","438,051","211,289","226,762","437,153","210,810","226,343"
