연월,자치구명,65~69세,70~74세,75~79세,7세미만,80~89세,90세이상,합계,점수
201601,강남구,906,876,665,390,632,138,3607,3
201601,강동구,637,626,585,254,576,109,2787,2
201601,강북구,1004,1203,982,354,869,124,4536,4
201601,강서구,1384,1490,1420,370,1486,264,6414,6
201601,관악구,891,956,874,304,820,115,3960,3
201601,광진구,443,478,397,143,439,60,1960,1
201601,구로구,528,662,671,282,556,77,2776,2
201601,금천구,633,772,625,234,626,85,2975,2
201601,노원구,1667,1921,1640,495,1657,307,7687,7
201601,도봉구,556,668,631,213,626,96,2790,2
201601,동대문구,968,1077,903,202,715,104,3969,3
201601,동작구,528,625,568,238,552,98,2609,2
201601,마포구,559,679,540,256,558,89,2681,2
201601,서대문구,464,553,531,540,503,68,2659,2
201601,서초구,275,344,246,182,291,46,1384,1
201601,성동구,492,569,514,135,465,57,2232,1
201601,성북구,862,988,883,354,788,134,4009,3
201601,송파구,571,576,477,196,500,92,2412,2
201601,양천구,633,706,687,260,629,93,3008,2
201601,영등포구,805,748,611,182,599,109,3054,2
201601,용산구,531,534,496,153,384,68,2166,1
201601,은평구,1283,1303,1091,442,1013,136,5268,5
201601,종로구,359,424,303,40,302,78,1506,1
201601,중구,368,379,327,75,342,35,1526,1
201601,중랑구,1015,1044,864,347,982,180,4432,4
201602,강남구,908,884,668,378,645,137,3620,3
201602,강동구,632,626,593,256,577,109,2793,2
201602,강북구,1021,1203,978,362,880,125,4569,4
201602,강서구,1387,1500,1429,360,1493,264,6433,6
201602,관악구,913,942,887,317,832,120,4011,3
201602,광진구,453,475,408,142,441,59,1978,1
201602,구로구,546,662,671,279,578,77,2813,2
201602,금천구,639,777,630,240,627,80,2993,2
201602,노원구,1668,1899,1660,491,1674,310,7702,7
201602,도봉구,564,673,654,221,632,95,2839,2
201602,동대문구,976,1075,911,203,725,103,3993,3
201602,동작구,526,633,577,245,552,102,2635,2
201602,마포구,563,677,536,238,567,92,2673,2
201602,서대문구,467,556,533,563,518,69,2706,2
201602,서초구,274,346,254,184,291,48,1397,1
201602,성동구,497,568,511,134,475,57,2242,1
201602,성북구,875,987,891,352,794,131,4030,3
201602,송파구,572,569,486,194,507,92,2420,2
201602,양천구,633,715,688,260,628,96,3020,2
201602,영등포구,809,739,616,185,599,109,3057,2
201602,용산구,529,533,501,151,390,69,2173,1
201602,은평구,1292,1298,1099,440,1052,137,5318,5
201602,종로구,356,418,302,35,304,81,1496,1
201602,중구,366,378,329,77,345,35,1530,1
201602,중랑구,1027,1040,880,345,989,185,4466,4
201603,강남구,915,884,679,407,654,131,3670,3
201603,강동구,645,625,604,262,595,110,2841,2
201603,강북구,1014,1206,996,358,894,127,4595,4
201603,강서구,1389,1491,1443,368,1499,267,6457,6
201603,관악구,911,944,900,317,826,128,4026,3
201603,광진구,446,475,411,143,447,62,1984,1
201603,구로구,555,661,673,282,583,77,2831,2
201603,금천구,642,775,628,252,633,82,3012,2
201603,노원구,1671,1886,1667,496,1688,306,7714,7
201603,도봉구,573,674,654,229,639,100,2869,2
201603,동대문구,973,1076,902,203,734,103,3991,3
201603,동작구,531,639,571,243,563,105,2652,2
201603,마포구,564,682,538,240,574,93,2691,2
201603,서대문구,476,555,538,504,530,67,2670,2
201603,서초구,275,340,261,181,296,47,1400,1
201603,성동구,505,571,513,137,476,61,2263,1
201603,성북구,882,976,895,363,809,129,4054,3
201603,송파구,586,576,490,206,510,93,2461,2
201603,양천구,629,716,687,272,640,94,3038,2
201603,영등포구,801,742,621,185,597,108,3054,2
201603,용산구,535,533,492,149,392,68,2169,1
201603,은평구,1288,1274,1093,446,1064,141,5306,5
201603,종로구,356,416,303,32,300,81,1488,1
201603,중구,381,375,334,80,351,35,1556,1
201603,중랑구,1036,1038,891,350,999,187,4501,4
201604,강남구,923,874,691,403,664,127,3682,3
201604,강동구,650,623,607,286,597,117,2880,2
201604,강북구,1028,1196,994,382,911,123,4634,4
201604,강서구,1394,1489,1445,370,1509,273,6480,6
201604,관악구,906,953,906,322,831,132,4050,3
201604,광진구,441,476,411,160,447,62,1997,1
201604,구로구,553,657,677,301,589,81,2858,2
201604,금천구,640,774,633,269,644,85,3045,2
201604,노원구,1646,1876,1670,515,1697,310,7714,7
201604,도봉구,581,683,658,245,639,100,2906,2
201604,동대문구,978,1069,906,218,735,97,4003,3
201604,동작구,537,638,571,257,570,103,2676,2
201604,마포구,562,676,540,250,578,92,2698,2
201604,서대문구,474,555,547,526,527,70,2699,2
201604,서초구,280,341,259,190,296,49,1415,1
201604,성동구,498,569,517,147,469,62,2262,1
201604,성북구,886,965,893,388,819,129,4080,3
201604,송파구,594,586,490,235,506,94,2505,2
201604,양천구,631,715,674,277,648,88,3033,2
201604,영등포구,796,747,612,195,594,107,3051,2
201604,용산구,536,529,502,154,391,69,2181,1
201604,은평구,1291,1277,1091,478,1068,148,5353,5
201604,종로구,356,420,309,38,296,83,1502,1
201604,중구,390,368,339,87,342,35,1561,1
201604,중랑구,1037,1037,898,398,1003,188,4561,4
201605,강남구,925,881,696,409,669,125,3705,3
201605,강동구,654,623,599,298,591,115,2880,2
201605,강북구,1023,1197,1004,390,915,127,4656,4
201605,강서구,1398,1482,1451,407,1523,267,6528,6
201605,관악구,892,948,896,330,824,131,4021,3
201605,광진구,441,473,412,171,446,62,2005,1
201605,구로구,567,651,681,311,586,84,2880,2
201605,금천구,640,765,638,273,639,82,3037,2
201605,노원구,1657,1844,1681,530,1701,316,7729,7
201605,도봉구,578,688,655,274,648,105,2948,2
201605,동대문구,962,1072,913,229,746,97,4019,3
201605,동작구,535,637,572,265,571,106,2686,2
201605,마포구,566,671,542,260,583,93,2715,2
201605,서대문구,470,558,540,543,521,70,2702,2
201605,서초구,281,333,261,198,294,48,1415,1
201605,성동구,502,562,522,159,468,66,2279,1
201605,성북구,877,962,897,397,830,129,4092,3
201605,송파구,585,594,488,234,504,94,2499,2
201605,양천구,634,719,675,288,646,92,3054,2
201605,영등포구,807,743,602,214,596,104,3066,2
201605,용산구,530,530,503,165,395,67,2190,1
201605,은평구,1261,1295,1091,487,1077,151,5362,5
201605,종로구,362,418,309,44,291,83,1507,1
201605,중구,387,365,343,89,336,38,1558,1
201605,중랑구,1044,1038,908,393,1008,190,4581,4
201606,강남구,907,877,691,406,663,125,3669,3
201606,강동구,664,638,599,307,586,109,2903,2
201606,강북구,1024,1190,1016,393,929,134,4686,4
201606,강서구,1407,1475,1474,397,1527,269,6549,6
201606,관악구,887,954,893,331,829,133,4027,3
201606,광진구,442,479,410,169,449,60,2009,1
201606,구로구,570,660,675,314,602,83,2904,2
201606,금천구,650,766,638,273,640,83,3050,2
201606,노원구,1659,1841,1692,528,1700,314,7734,7
201606,도봉구,587,689,666,273,652,105,2972,2
201606,동대문구,957,1072,915,227,752,94,4017,3
201606,동작구,536,642,578,274,575,109,2714,2
201606,마포구,568,667,546,264,578,91,2714,2
201606,서대문구,489,550,541,545,526,69,2720,2
201606,서초구,288,332,257,190,299,53,1419,1
201606,성동구,502,560,532,155,467,66,2282,1
201606,성북구,879,969,904,388,826,130,4096,3
201606,송파구,593,603,489,231,510,92,2518,2
201606,양천구,642,719,682,285,647,93,3068,2
201606,영등포구,801,728,599,209,600,101,3038,2
201606,용산구,524,531,494,163,405,66,2183,1
201606,은평구,1256,1290,1093,477,1088,154,5358,5
201606,종로구,365,415,312,42,292,84,1510,1
201606,중구,380,369,345,91,336,41,1562,1
201606,중랑구,1039,1044,923,379,1014,191,4590,4
201607,강남구,895,881,699,405,664,127,3671,3
201607,강동구,667,641,602,299,589,109,2907,2
201607,강북구,1029,1185,1023,380,948,134,4699,4
201607,강서구,1388,1480,1492,388,1536,270,6554,6
201607,관악구,894,955,902,324,826,132,4033,3
201607,광진구,446,480,414,160,451,63,2014,1
201607,구로구,563,666,674,310,601,86,2900,2
201607,금천구,655,763,639,276,646,89,3068,2
201607,노원구,1657,1833,1709,542,1710,315,7766,7
201607,도봉구,586,689,669,262,664,102,2972,2
201607,동대문구,954,1067,912,217,757,98,4005,3
201607,동작구,534,649,584,267,578,107,2719,2
201607,마포구,570,662,548,263,580,88,2711,2
201607,서대문구,487,550,545,552,529,69,2732,2
201607,서초구,287,337,253,185,302,53,1417,1
201607,성동구,504,559,540,154,461,70,2288,1
201607,성북구,880,965,915,382,822,132,4096,3
201607,송파구,597,610,489,223,511,93,2523,2
201607,양천구,647,713,684,273,652,92,3061,2
201607,영등포구,801,718,605,204,594,98,3020,2
201607,용산구,518,529,497,160,408,68,2180,1
201607,은평구,1260,1296,1102,463,1097,159,5377,5
201607,종로구,358,418,316,40,296,81,1509,1
201607,중구,377,373,345,88,337,42,1562,1
201607,중랑구,1031,1050,931,371,1013,195,4591,4
201608,강남구,893,893,697,412,664,125,3684,3
201608,강동구,663,649,612,288,587,108,2907,2
201608,강북구,1023,1188,1024,372,951,138,4696,4
201608,강서구,1384,1476,1500,408,1551,268,6587,6
201608,관악구,897,956,913,322,835,131,4054,3
201608,광진구,442,483,417,162,447,64,2015,1
201608,구로구,567,663,679,294,597,87,2887,2
201608,금천구,659,767,645,268,646,88,3073,2
201608,노원구,1667,1833,1725,527,1709,312,7773,7
201608,도봉구,591,672,678,264,668,108,2981,2
201608,동대문구,946,1063,909,211,759,94,3982,3
201608,동작구,544,646,592,256,577,105,2720,2
201608,마포구,570,659,551,262,583,85,2710,2
201608,서대문구,492,547,549,527,529,70,2714,2
201608,서초구,290,337,255,182,302,53,1419,1
201608,성동구,503,557,550,150,460,67,2287,1
201608,성북구,864,975,914,372,826,128,4079,3
