년월,자치구명,에너지바우처점수,최소에너지점수,연료비비율점수,점수합계,percent
201601,강남구,3,4,1,8,26.666666666666668
201601,강동구,2,5,1,8,26.666666666666668
201601,강북구,4,5,1,10,33.33333333333333
201601,강서구,6,5,1,12,40.0
201601,관악구,3,6,1,10,33.33333333333333
201601,광진구,1,5,1,7,23.333333333333332
201601,구로구,2,4,1,7,23.333333333333332
201601,금천구,2,2,1,5,16.666666666666664
201601,노원구,7,4,1,12,40.0
201601,도봉구,2,6,1,9,30.0
201601,동대문구,3,5,1,9,30.0
201601,동작구,2,5,1,8,26.666666666666668
201601,마포구,2,5,3,10,33.33333333333333
201601,서대문구,2,5,3,10,33.33333333333333
201601,서초구,1,6,3,10,33.33333333333333
201601,성동구,1,5,3,9,30.0
201601,성북구,3,6,2,11,36.666666666666664
201601,송파구,2,5,2,9,30.0
201601,양천구,2,4,3,9,30.0
201601,영등포구,2,3,5,10,33.33333333333333
201601,용산구,1,5,2,8,26.666666666666668
201601,은평구,5,6,2,13,43.333333333333336
201601,종로구,1,6,2,9,30.0
201601,중구,1,5,2,8,26.666666666666668
201601,중랑구,4,5,6,15,50.0
201602,강남구,3,5,7,15,50.0
201602,강동구,2,6,5,13,43.333333333333336
201602,강북구,4,6,5,15,50.0
201602,강서구,6,6,5,17,56.666666666666664
201602,관악구,3,5,5,13,43.333333333333336
201602,광진구,1,4,6,11,36.666666666666664
201602,구로구,2,1,10,13,43.333333333333336
201602,금천구,2,4,4,10,33.33333333333333
201602,노원구,7,6,4,17,56.666666666666664
201602,도봉구,2,6,5,13,43.333333333333336
201602,동대문구,3,5,5,13,43.333333333333336
201602,동작구,2,5,2,9,30.0
201602,마포구,2,5,2,9,30.0
201602,서대문구,2,6,2,10,33.33333333333333
201602,서초구,1,6,2,9,30.0
201602,성동구,1,6,2,9,30.0
201602,성북구,3,5,2,10,33.33333333333333
201602,송파구,2,4,2,8,26.666666666666668
201602,양천구,2,2,3,7,23.333333333333332
201602,영등포구,2,4,1,7,23.333333333333332
201602,용산구,1,5,1,7,23.333333333333332
201602,은평구,5,5,2,12,40.0
201602,종로구,1,5,2,8,26.666666666666668
201602,중구,1,7,4,12,40.0
